SPORTS;https://www.dailymail.co.uk/sport/football/article-8611827/Liverpool-appoint-former-West-Ham-midfielder-Gary-ONeil-23s-assistant-coach.html;dailymail.co.uk;2020-08-10 12:57:21;Liverpool appoint former West Ham midfielder Gary O'Neil as Under 23s assistant coach;en
TECHNOLOGY;https://www.theverge.com/2020/8/7/21358338/google-plus-security-lapse-settlement-12-dollars-exposed-data;theverge.com;2020-08-07 09:03:00;Here’s how to make a claim in the $7.5M Google Plus security flaw settlement;en
NATION;https://en.tempo.co/read/1373101/epidemiologist-concerned-by-jokowis-strict-covid-19-protocol;en.tempo.co;2020-08-06 07:19:41;Epidemiologist Concerned by Jokowi's Strict COVID-19 Protocol;en
WORLD;https://abcnews.go.com/US/coronavirus-live-updates-us-weekly-covid-19-cases/story?id=72225715;abcnews.go.com;2020-08-07 09:31:39;Coronavirus updates: CDC updates August death projections;en
ENTERTAINMENT;https://www.indiewire.com/2020/08/seth-rogen-christopher-nolan-killing-fans-tenet-release-1234577870/;indiewire.com;2020-08-04 13:50:13;Seth Rogen Quips: Christopher Nolan ‘Killing His Fans’ with ‘Tenet’ Pandemic Release;en
ENTERTAINMENT;https://www.channelnewsasia.com/news/lifestyle/martin-scorsese-creating-new-films-tv-shows-apple-plus-streaming-13013076;channelnewsasia.com;2020-08-12 04:06:03;Martin Scorsese is creating new films, TV shows for Apple's streaming service;en
HEALTH;https://www.couriermail.com.au/business/work/coronavirus-victoria-dan-andrews-brett-suttons-relationship-has-risk-expert-warns/news-story/473e43b6255ddf3211c26bc3b900c921?nk=416570d7267d380ee4460362f8c56a0b-1596931899;couriermail.com.au;2020-08-07 01:46:00;Coronavirus Victoria: Dan Andrews, Brett Sutton’s relationship has ‘risk’ expert warns;en
BUSINESS;https://www.globenewswire.com/news-release/2020/08/04/2072676/0/en/The-Global-HDMI-Cable-Market-is-expected-to-grow-by-800-10-mn-during-2020-2024-progressing-at-a-CAGR-of-3-during-the-forecast-period.html;globenewswire.com;2020-08-04 15:13:00;The Global HDMI Cable Market is expected to grow by $ 800.10 mn during 2020-2024 progressing at a CAGR of 3% during the forecast period;en
SPORTS;https://www.nba.com/thunder/recap/heat-200812;nba.com;2020-08-13 05:07:28;Game Recap: Thunder 116, Heat 115;en
NATION;https://www.timesnownews.com/videos/times-now/india/disha-salian-autopsy-reveals-glaring-lapses-heavy-rains-wreak-havoc-in-mumbai-top-headlines/69932;timesnownews.com;2020-08-06 06:42:27;"Disha Salian autopsy reveals glaring lapses; Heavy rains wreak havoc in Mumbai | Top headlines";en
NATION;https://www.standardmedia.co.ke/business/article/2001381321/sugar-millers-want-ban-on-cane-imports-lifted;standardmedia.co.ke;2020-08-05 09:52:35;Sugar manufacturers want ban on cane imports lifted;en
SPORTS;https://www.hoopsrumors.com/2020/08/nunn-clears-quarantine-but-remains-out-tonight.html;hoopsrumors.com;2020-08-12 20:23:45;Nunn Clears Quarantine, Remains Out Tonight;en
WORLD;https://www.dailymail.co.uk/news/article-8598215/Facebook-removes-post-Trump-falsely-claiming-children-immune-COVID-19.html;dailymail.co.uk;2020-08-06 00:21:56;Facebook removes post by Trump for falsely claiming children are 'almost immune' to COVID-19;en
SPORTS;https://www.express.co.uk/sport/football/1319319/Chelsea-Roman-Abramovich-Frank-Lampard-Kai-Havertz-transfer-news;express.co.uk;2020-08-06 07:06:44;Chelsea owner Roman Abramovich makes Frank Lampard demand after Kai Havertz nears move;en
ENTERTAINMENT;https://www.capitalxtra.com/artists/snoop-dogg/news/top-ten-favourite-rappers-backlash/;capitalxtra.com;2020-08-03 15:40:09;Snoop Dogg reveals his top ten favourite rappers after excluding Eminem;en
SPORTS;https://www.afl.com.au/news/484552/swans-dockers-set-for-cairns-stint-as-footy-returns-to-cazalys;afl.com.au;2020-08-11 23:52:00;Swans, Fremantle set for Cairns stint as footy returns to Cazalys Stadium;en
BUSINESS;https://www.marketwatch.com/story/angi-homeservices-stock-falls-as-pandemic-boosts-demand-but-growth-slows-in-july-2020-08-10;marketwatch.com;2020-08-10 21:05:00;ANGI Homeservices stock falls, as pandemic boosts demand but growth slows in July;en
SCIENCE;https://www.zee5.com/zeekannada/akatsuki-reveals-giant-cloud-disruption-on-venus-unnoticed-for-35-years/;zee5.com;2020-08-07 04:27:48;Akatsuki reveals giant cloud disruption on Venus unnoticed for 35 years;en
TECHNOLOGY;https://www.irishexaminer.com/lifestyle/relationships/arid-40025405.html;irishexaminer.com;2020-08-04 05:00:00;Learner Dad: My wife has taken to playing Super Mario Run with the kids before they go to bed;en
NATION;https://www.thisdaylive.com/index.php/2020/08/14/gunmen-kill-bauchi-legislator-abduct-wives-child/;thisdaylive.com;2020-08-14 08:55:46;Gunmen Kill Bauchi Legislator, Abduct Wives, Child;en
NATION;https://www.702.co.za/articles/364759/former-botswana-president-ian-khama-votes-for-opposition-party;702.co.za;2020-07-29 08:17:25;Former Botswana president Ian Khama votes for opposition party;en
SPORTS;https://www.cbssports.com/mlb/news/cleveland-pitcher-zach-plesac-issues-apology-for-breaking-coronavirus-protocols-in-chicago/;cbssports.com;2020-08-10 16:05:00;Cleveland pitcher Zach Plesac issues apology for breaking coronavirus protocols in Chicago;en
NATION;https://www.standardmedia.co.ke/the-standard-insider/article/2001382488/being-uhuru-is-costly;standardmedia.co.ke;2020-08-16 09:00:00;Being ‘Uhuru’ is costly;en
BUSINESS;https://abcnews.go.com/Health/wireStory/latest-australian-hot-spot-state-panic-buy-72206190;abcnews.go.com;2020-08-06 07:52:30;The Latest: Virus cases on Norwegian cruise ship reach 53;en
SCIENCE;https://www.techtimes.com/articles/251656/20200807/mars-shows-eerie-green-aura-night-images-taken-nasas-maven.htm;techtimes.com;2020-08-08 03:50:14;Mars Shows Eerie Green Aura at Night in Images Taken by NASA's MAVEN Orbiter;en
ENTERTAINMENT;https://toofab.com/2020/08/11/dua-lipa-gwen-stefani-blake-shelton-husband-jimmy-kimmel/;toofab.com;2020-08-11 19:43:00;Watch Gwen Stefani React When Dua Lipa Calls Blake Shelton Her 'Husband';en
SPORTS;https://journalstar.com/sports/huskers/life-in-the-red/espn-personalities-blast-huskers-response-to-big-ten-postponement/article_783002ce-9e92-5fd6-9ab2-aa06f0c5eacb.html;journalstar.com;2020-08-12 20:26:15;ESPN personalities blast Huskers' response to Big Ten postponement;en
ENTERTAINMENT;https://www.yourtango.com/2020336282/free-tarot-reading-august-16-2020-zodiac-signs;yourtango.com;2020-08-15 15:02:24;Free Tarot Reading, August 16, 2020;en
SPORTS;https://www.racingpost.com/sport/steve-palmers-wyndham-championship-third-round-preview-best-bets-free-tips/446650;racingpost.com;2020-08-15 07:17:36;Steve Palmer's Wyndham Championship third-round preview, best bets, free tips;en
HEALTH;https://www.citynews1130.com/2020/08/07/swiss-ink-deal-with-moderna-for-4-5m-doses-of-covid-vaccine/;citynews1130.com;2020-08-07 09:46:32;Swiss ink deal with Moderna for 4.5M doses of COVID vaccine;en
TECHNOLOGY;https://hypebeast.com/2020/8/adidas-spezial-leeds-elland-spzl-hip-store-release-information;hypebeast.com;2020-08-17 07:00:00;"adidas Spezial Pays Tribute to Leeds With ""Made for HIP"" Elland SPZL Release";en
NATION;https://www.stuff.co.nz/business/industries/122456811/queenstown-mayor-slams-appalling-plan-for-new-airport-in-central-otago;stuff.co.nz;2020-08-16 21:43:00;Queenstown mayor slams 'appalling' plan for new airport in Central Otago;en
TECHNOLOGY;https://www.gamespot.com/articles/phil-spencer-talks-xbox-series-x-halo-on-animal-cr/1100-6480907/;gamespot.com;2020-08-13 12:34:00;Xbox Chief Phil Spencer Talks Xbox Series X, Halo Inside Animal Crossing: New Horizons;en
TECHNOLOGY;https://www.androidcentral.com/samsung-galaxy-buds-live-vs-galaxy-buds-plus;androidcentral.com;2020-08-12 12:00:03;Samsung Galaxy Buds Live vs. Galaxy Buds Plus: Which should you buy?;en
NATION;https://www.sowetanlive.co.za/news/south-africa/2020-08-03-applying-for-nsfas-funding-for-2021-this-is-what-you-need-to-know/;sowetanlive.co.za;2020-08-03 15:37:00;Applying for NSFAS funding for 2021? This is what you need to know;en
BUSINESS;https://www.bbc.com/news/business-53635238;bbc.com;2020-08-04 11:15:00;Pizza Express may close 67 outlets and cut 1,100 jobs;en
SPORTS;https://www.couriermail.com.au/subscribe/news/1/?sourceCode=CMWEB_WRE170_a&dest=https%3A%2F%2Fwww.couriermail.com.au%2Fsport%2Fnrl%2Ftevita-pangai-jr-addresses-broncos-teammates-over-roosters-speculation%2Fnews-story%2Fa36b24696056eaf8f908cd6573728743&memtype=anonymous&mode=premium&nk=9b72b73c744dc880ebd6a5c3e3ffbed3-1596705177;couriermail.com.au;2020-08-06 04:33:00;Tevita Pangai Jr addresses Broncos teammates over Roosters speculation;en
BUSINESS;https://www.carscoops.com/2020/08/bugatti-divo-development-ends-after-2-years-as-deliveries-of-the-5-9-million-hypercar-begin/;carscoops.com;2020-08-06 01:00:00;Bugatti Divo Development Ends After 2 Years As Deliveries Of The $5.9 Million Hypercar Begin;en
BUSINESS;https://thedailychronicle.in/news/214533/global-microelectromechanical-systems-market-2020-trends-market-share-industry-size-opportunities-analysis-and-forecast-to-2026/;thedailychronicle.in;2020-08-14 13:52:25;Global Microelectromechanical Systems Market 2020 Trends, Market Share, Industry Size, Opportunities, Analysis and Forecast to 2026;en
NATION;https://www.myjoyonline.com/news/national/akufo-addo-sacks-amansie-south-akuapem-north-dces-nominates-replacements/;myjoyonline.com;2020-08-07 13:52:17;Akufo-Addo nominates three chief executives for confirmation by their Assemblies;en
SPORTS;https://www.mirror.co.uk/sport/football/news/liverpool-manager-jurgen-klopp-demands-22536211;mirror.co.uk;2020-08-17 17:07:00;Liverpool manager Jurgen Klopp demands Fabinho makes change to his game;en
TECHNOLOGY;https://www.forbes.com/sites/gordonkelly/2020/08/13/apple-iphone-12-pro-max-release-date-upgrade-iphone-11-pro-max-update/;forbes.com;2020-08-13 23:15:00;iPhone 12 Surprise As New Apple Release Revealed;en
